codigo,descripcion
Z64,Problemas relacionados con ciertas circunstancias psicosociales
Z65,Problemas relacionados con otras circunstancias psicosociales
Z70,Asesoramiento relacionado con la actitud sexual
Z71,Personas que consultan por razones otras que las quejas
Z72,Problemas relacionados con el estilo de vida
Z73,Problemas relacionados con dificultades en el manejo de la vida
Z74,Problemas relacionados con dependencia del proveedor de cuidados
Z75,Problemas relacionados con instalaciones médicas y otros servicios de salud
Z76,Personas en contacto con los servicios de salud bajo otras circunstancias
Z80,Historia familiar de neoplasias malignas
Z81,Historia familiar de trastornos mentales y del comportamiento
Z82,Historia familiar de ciertas discapacidades y enfermedades crónicas
Z83,Historia familiar de otras enfermedades específicas
Z84,Historia familiar de otras afecciones
Z85,Historia personal de neoplasias malignas
Z86,Historia personal de ciertas otras enfermedades
Z87,Historia personal de otras enfermedades y afecciones
Z88,"Historia personal de alergia a drogas, medicamentos y sustancias biológicas"
Z89,Ausencia adquirida de miembro
Z90,Ausencia adquirida de órganos
Z91,Historia personal de factores de riesgo para la salud
Z92,Historia personal de tratamiento médico
Z93,Estado de ostomías artificiales
Z94,Estado de órgano y tejido trasplantados
Z95,Presencia de implantes cardíacos y vasculares
Z96,Presencia de otros implantes funcionales
Z97,Presencia de otros dispositivos
Z98,Otros estados posquirúrgicos
Z99,Dependencia de máquinas y dispositivos capacitantes
A09.9,Gastroenteritis y colitis de origen infeccioso no especificado
K21.9,Enfermedad de reflujo gastroesofágico sin esofagitis
